Path,DSMdv,LC3,Avinf,Lcdate,TOF
3358,0.031,86.515,10.531,2036-11-18,12.95
3358,0.015,110.517,9.153,2031-12-15,12.53
3358,0.181,157.301,18.81,2031-11-17,14.87
3358,0.177,88.198,8.746,2037-03-02,13.49
3358,0.073,84.86,12.285,2039-03-20,12.05
3358,0.14,83.98,15.302,2035-02-09,14.1
3358,0.104,111.343,10.068,2036-01-21,8.9
3358,0.069,85.725,7.632,2036-07-31,14.81
3358,0.085,102.947,14.405,2033-10-15,13.21
3358,0.097,107.07,10.63,2036-06-25,12.74
3358,0.137,145.058,9.048,2038-08-04,13.53
3358,0.074,89.663,9.05,2036-03-17,14.68
3358,0.063,139.818,18.749,2038-10-31,14.35
3358,0.12,86.914,5.426,2037-02-06,13.05
3358,0.139,93.394,10.133,2037-02-18,13.78
3358,0.078,99.333,6.24,2031-11-23,9.63
3358,0.151,164.034,18.467,2035-04-02,11.44
3358,0.074,104.163,14.616,2031-09-10,10.26
3358,0.108,93.072,9.861,2033-11-16,14.6
3358,0.053,87.071,15.895,2036-12-20,9.15
3358,0.047,90.419,8.998,2037-07-24,13.5
3358,0.157,142.605,17.88,2033-10-05,12.69
3358,0.073,195.777,20.865,2034-06-08,13.99
3358,0.144,99.557,24.318,2035-05-16,13.11
3358,0.195,207.278,12.887,2037-06-10,13.45
3358,0.081,81.473,6.685,2037-01-31,13.56
3358,0.106,176.613,19.347,2033-11-14,14.16
3358,0.105,98.23,13.747,2038-05-22,13.49
3358,0.044,107.677,17.574,2033-11-18,13.06
3358,0.108,172.651,17.363,2039-09-30,14.79
3358,0.108,89.732,14.946,2037-05-07,13.79
3358,0.158,99.28,9.021,2035-12-20,13.69
3358,0.18,123.677,5.714,2032-12-01,8.85
3358,0.085,86.102,17.643,2033-03-07,15.0
3358,0.137,188.48,21.458,2033-11-04,5.34
3358,0.111,138.576,17.362,2033-11-06,11.37
3358,0.092,112.535,15.724,2039-11-03,14.75
3358,0.058,95.137,21.615,2035-05-08,12.83
3358,0.109,95.135,13.362,2036-04-12,13.91
3358,0.106,112.969,14.481,2031-08-15,12.61
3358,0.019,203.544,19.963,2039-07-18,13.99
3358,0.079,98.58,15.994,2037-05-01,11.17
3358,0.096,131.796,11.33,2038-09-09,12.7
3358,0.138,95.71,8.389,2037-05-01,13.07
3358,0.017,93.654,19.435,2039-02-08,14.39
3358,0.109,95.9,9.425,2035-12-18,13.64
3358,0.007,167.728,10.287,2031-01-11,13.29
3358,0.096,138.359,19.403,2038-03-23,13.95
3358,0.133,79.462,7.404,2038-03-11,11.52
3358,0.082,94.108,7.769,2036-05-26,14.67
3358,0.116,89.825,7.537,2031-10-16,10.76
3358,0.036,89.196,12.75,2037-08-09,14.77
3358,0.09,101.617,8.122,2037-04-23,12.84
3358,0.031,85.455,4.804,2035-05-26,14.62
3358,0.089,113.891,11.778,2035-02-05,14.06
3358,0.135,92.102,12.048,2033-11-10,8.61
3358,0.073,160.343,21.889,2031-10-22,12.92
3358,0.007,91.802,9.618,2032-11-01,14.38
3358,0.19,85.341,7.537,2037-05-21,12.71
3358,0.022,94.872,6.828,2036-05-06,14.52
3358,0.025,92.169,6.757,2035-04-12,14.88
3358,0.073,89.201,18.851,2033-01-24,13.64
3358,0.126,144.888,10.192,2039-12-03,9.98
3358,0.11,85.703,16.993,2032-03-18,12.02
3358,0.163,101.35,14.069,2037-06-10,13.79
3358,0.079,223.475,11.274,2035-01-14,9.82
3358,0.095,98.822,12.922,2037-06-08,14.13
3358,0.126,97.519,17.575,2034-12-15,13.18
3358,0.125,87.604,16.926,2038-06-03,13.91
3358,0.083,149.709,9.148,2036-08-04,14.54
3358,0.125,164.242,19.086,2032-02-03,14.61
3358,0.133,149.788,21.692,2033-12-08,14.45
3358,0.128,75.908,6.077,2037-02-06,12.41
3358,0.112,167.521,12.002,2036-05-22,13.27
3358,0.074,95.306,15.402,2039-07-06,14.82
3358,0.147,115.991,18.538,2039-09-18,14.03
3358,0.013,92.169,6.883,2035-04-12,14.92
3358,0.139,94.662,15.853,2038-03-27,10.27
3358,0.098,92.315,9.578,2034-09-16,10.02
3358,0.012,97.601,13.47,2039-09-12,13.56
3358,0.077,91.474,8.597,2036-04-18,14.15
3358,0.045,81.692,8.788,2035-04-08,14.64
3358,0.123,95.695,6.93,2036-10-05,11.91
3358,0.047,81.869,13.071,2036-10-31,14.8
3358,0.127,168.035,13.295,2037-05-31,14.96
3358,0.092,89.598,17.076,2038-05-10,14.39
3358,0.133,158.407,9.486,2035-02-21,13.28
3358,0.172,197.603,16.402,2038-01-24,10.79
3358,0.184,221.954,11.573,2035-02-07,14.07
3358,0.033,216.746,6.896,2038-06-17,10.95
3358,0.033,136.198,12.625,2038-06-25,12.78
3358,0.153,77.191,12.795,2037-03-22,11.56
3358,0.194,88.84,12.623,2037-02-14,13.88
3358,0.102,91.224,15.542,2034-12-03,14.54
3358,0.148,85.247,11.692,2038-05-12,11.05
3358,0.09,130.582,12.071,2032-11-07,11.88
3358,0.013,87.62,14.068,2034-01-09,11.94
3358,0.176,106.904,14.527,2036-06-17,15.0
3358,0.089,186.848,16.113,2038-07-25,14.55
3358,0.115,108.997,19.395,2034-03-24,13.05
3358,0.085,83.145,9.19,2033-10-23,14.57
3358,0.105,156.625,8.606,2039-04-17,10.82
