Path,DSMdv,LC3,Avinf,Lcdate,TOF
358,0.077,216.906,16.286,2035-03-05,13.77
358,0.079,174.958,15.255,2031-04-05,12.35
358,0.005,217.335,7.517,2033-04-28,7.2
358,0.037,197.797,9.081,2033-09-19,7.29
358,0.076,146.681,12.304,2039-01-01,9.16
358,0.039,207.027,17.068,2033-09-29,14.32
358,0.003,121.603,17.934,2035-07-17,14.47
358,0.041,118.718,20.011,2034-12-05,11.75
358,0.097,85.099,18.277,2032-05-03,11.85
358,0.087,144.685,18.009,2035-06-27,9.35
358,0.076,119.19,24.07,2038-10-27,14.01
358,0.076,166.992,10.681,2032-09-16,12.21
358,0.08,94.785,8.081,2031-03-14,9.32
358,0.078,94.234,13.883,2033-05-02,7.43
358,0.061,95.775,17.063,2038-12-30,9.95
358,0.071,144.797,14.38,2034-06-08,7.81
358,0.097,220.659,10.094,2037-01-07,13.36
358,0.086,96.149,15.944,2034-09-08,13.51
358,0.098,179.64,18.047,2031-02-18,7.91
358,0.045,142.911,24.802,2034-06-08,14.59
358,0.075,134.828,11.516,2036-03-19,13.43
358,0.003,91.539,13.994,2039-08-05,14.24
358,0.067,98.864,16.017,2039-03-10,11.61
358,0.098,98.969,11.45,2033-08-30,9.12
358,0.063,127.332,15.094,2037-02-24,12.72
358,0.065,204.347,15.151,2038-09-29,7.57
358,0.098,158.852,21.111,2035-11-30,11.92
358,0.089,164.134,16.512,2039-01-11,7.41
358,0.088,99.673,10.132,2031-02-08,10.87
358,0.086,101.277,7.452,2032-05-25,9.24
358,0.003,125.257,17.75,2032-03-24,10.16
358,0.053,87.299,19.703,2038-12-30,12.87
358,0.012,115.777,12.695,2036-05-30,14.78
358,0.094,172.132,5.958,2037-11-01,10.95
358,0.094,88.677,19.462,2032-06-08,11.96
358,0.009,185.07,11.071,2036-07-13,14.96
358,0.076,120.517,17.377,2036-05-28,14.82
358,0.064,170.13,7.949,2039-03-28,10.65
358,0.073,200.849,17.827,2036-07-11,12.37
358,0.005,141.864,10.327,2035-09-01,8.23
358,0.086,221.559,11.8,2033-03-15,13.72
358,0.097,107.246,17.914,2036-03-11,14.68
358,0.06,198.164,15.428,2034-06-08,7.97
358,0.03,94.803,10.623,2036-03-01,14.26
358,0.044,88.556,10.415,2032-06-06,9.79
358,0.096,99.316,5.616,2039-03-28,10.77
358,0.058,97.326,14.101,2034-09-24,10.76
358,0.098,88.858,8.276,2033-06-15,13.32
358,0.079,87.423,7.737,2036-01-13,13.85
358,0.086,122.347,15.422,2034-01-27,14.98
358,0.099,148.639,13.676,2037-10-02,13.05
358,0.061,81.701,13.784,2033-12-12,14.79
358,0.082,137.866,18.503,2038-11-16,14.16
358,0.099,104.917,12.387,2037-10-06,9.72
358,0.071,198.691,11.386,2039-02-14,10.42
358,0.095,91.77,8.591,2033-04-28,6.95
358,0.088,142.794,7.786,2035-09-05,12.48
358,0.094,139.767,13.039,2039-05-15,12.09
358,0.028,93.313,12.202,2035-09-21,14.05
358,0.042,175.539,12.347,2036-07-11,6.09
358,0.002,219.243,4.967,2039-05-09,10.64
358,0.066,173.163,10.843,2035-06-21,4.8
358,0.075,97.106,9.71,2037-10-06,14.66
358,0.094,218.762,9.57,2032-12-07,10.79
358,0.085,117.81,7.932,2031-03-28,9.3
358,0.087,166.308,11.517,2033-10-27,10.23
358,0.077,112.819,15.415,2032-08-03,11.7
358,0.008,99.493,16.716,2033-05-06,11.12
358,0.068,197.028,13.524,2034-09-14,9.52
358,0.078,208.686,10.383,2033-04-14,14.14
358,0.088,211.191,16.273,2037-01-09,10.78
358,0.089,119.273,18.268,2033-04-20,10.59
358,0.04,165.724,11.415,2036-10-09,11.92
358,0.1,215.069,23.217,2036-01-09,11.16
358,0.1,123.081,11.224,2036-08-24,12.98
358,0.08,103.493,5.292,2039-11-09,14.45
358,0.003,183.777,11.491,2037-08-17,8.93
358,0.08,159.835,14.406,2031-03-28,7.93
358,0.1,91.231,17.153,2032-12-23,13.25
358,0.065,89.601,4.898,2039-04-13,10.73
358,0.015,143.286,8.557,2032-09-18,9.53
358,0.058,205.835,12.338,2036-04-06,13.25
358,0.019,161.86,8.268,2038-05-20,11.25
358,0.002,107.66,7.469,2034-09-08,7.45
358,0.061,111.174,14.84,2039-02-14,10.5
358,0.065,214.818,16.327,2039-04-27,14.15
358,0.018,86.72,6.776,2037-05-07,13.28
358,0.033,98.259,11.923,2036-11-24,12.18
358,0.078,99.078,9.967,2037-10-06,12.92
358,0.001,89.819,10.974,2036-09-21,8.24
358,0.086,105.23,16.517,2035-01-28,14.69
358,0.088,92.297,11.763,2033-06-15,9.78
358,0.008,218.463,9.783,2034-07-24,11.13
358,0.069,92.159,15.567,2034-08-11,8.38
358,0.094,136.266,23.276,2036-08-20,12.38
358,0.032,208.799,12.229,2036-07-11,14.72
358,0.095,161.026,8.977,2036-05-10,12.92
358,0.013,93.889,16.878,2031-02-24,12.7
358,0.067,224.867,15.733,2031-08-07,11.81
358,0.067,155.644,21.758,2037-11-19,9.13
358,0.083,216.06,10.869,2031-08-03,11.77
358,0.062,93.529,8.55,2035-09-03,6.82
358,0.09,196.531,12.647,2031-09-18,13.99
358,0.03,142.24,12.79,2034-10-22,13.35
358,0.008,102.431,8.574,2032-08-27,9.63
358,0.033,91.352,19.077,2035-07-19,8.79
358,0.058,209.255,6.934,2038-09-23,11.65
358,0.0,156.555,17.315,2033-07-29,10.98
358,0.084,100.016,14.066,2036-01-05,13.67
358,0.02,101.039,11.472,2036-05-22,14.12
358,0.005,148.11,19.789,2037-01-09,11.99
358,0.059,101.056,17.043,2039-09-22,14.61
358,0.055,134.432,10.725,2035-09-03,7.19
358,0.098,82.796,5.456,2034-12-05,14.16
358,0.0,90.663,19.154,2035-01-18,13.85
358,0.075,83.186,9.504,2039-11-23,12.98
358,0.037,102.028,18.141,2031-02-08,6.02
358,0.042,98.6,23.364,2036-04-14,11.78
358,0.099,109.326,15.343,2037-05-07,14.47
358,0.087,110.89,17.736,2039-12-21,13.07
358,0.078,184.769,22.054,2039-12-13,12.27
358,0.024,156.45,10.262,2038-07-03,13.43
358,0.03,117.558,16.345,2039-08-13,14.21
358,0.09,96.834,15.282,2031-02-08,10.83
358,0.094,99.459,20.736,2035-12-02,10.84
358,0.016,164.361,23.704,2031-02-08,6.2
358,0.1,85.974,12.085,2031-03-26,9.84
358,0.01,91.143,16.004,2036-11-04,9.35
358,0.049,92.025,14.957,2034-07-22,7.94
358,0.095,92.976,11.458,2032-06-20,9.87
358,0.063,141.776,9.382,2037-09-28,5.86
358,0.096,148.908,9.659,2036-10-23,6.91
358,0.069,99.535,8.398,2039-06-28,11.69
358,0.092,174.825,15.152,2031-12-27,14.21
358,0.05,101.071,12.885,2039-03-28,13.29
358,0.049,191.899,20.041,2035-06-03,8.85
358,0.099,153.074,19.96,2031-04-17,6.52
358,0.035,109.349,10.342,2038-04-10,12.49
358,0.065,107.749,17.668,2036-08-28,10.54
358,0.071,183.461,11.966,2034-08-09,13.11
358,0.0,192.258,8.375,2036-10-11,14.83
358,0.011,98.27,12.245,2034-10-22,10.18
358,0.053,178.948,14.83,2037-02-16,12.42
358,0.039,224.622,19.896,2038-02-09,10.42
358,0.009,201.695,19.474,2035-01-18,14.17
358,0.073,91.561,13.88,2035-09-03,7.56
358,0.078,200.877,7.032,2038-06-29,12.26
358,0.096,203.445,12.475,2035-10-17,12.38
358,0.069,92.629,6.362,2032-05-05,8.79
358,0.075,181.118,14.324,2034-07-24,9.7
358,0.083,149.702,6.826,2039-11-27,10.6
358,0.001,110.871,11.698,2037-10-06,14.47
358,0.09,130.39,12.065,2035-08-16,12.11
358,0.061,140.246,19.993,2037-02-22,10.99
358,0.081,214.919,20.965,2035-01-26,14.07
358,0.045,133.48,14.329,2037-05-25,13.2
358,0.096,174.567,21.076,2039-06-28,12.49
358,0.011,195.241,21.785,2031-03-28,11.87
358,0.077,181.768,13.715,2033-06-15,14.19
358,0.012,95.979,16.944,2032-03-30,11.97
358,0.075,139.769,10.676,2031-09-22,13.48
358,0.031,139.095,10.82,2036-05-30,14.22
358,0.081,95.858,11.551,2035-07-19,10.15
358,0.044,220.752,15.33,2031-05-09,11.1
358,0.097,124.587,11.929,2031-11-17,13.7
358,0.092,115.587,5.807,2038-11-16,10.56
358,0.012,92.581,13.267,2037-06-26,15.0
358,0.014,137.974,12.433,2035-09-15,13.57
358,0.0,191.903,12.466,2031-12-23,13.7
358,0.055,142.69,8.022,2037-01-07,13.1
358,0.084,221.778,14.821,2039-09-26,14.53
358,0.094,178.448,6.217,2036-10-13,5.2
358,0.002,86.399,14.58,2037-04-23,14.07
358,0.094,111.56,11.486,2031-03-30,11.01
358,0.014,88.995,7.537,2036-08-22,11.77
358,0.012,87.21,14.19,2031-04-15,10.06
358,0.092,172.612,20.844,2038-07-03,10.1
358,0.023,146.582,17.241,2036-03-01,12.79
358,0.027,151.163,6.332,2032-05-05,14.09
358,0.081,152.59,12.736,2032-03-20,9.15
358,0.084,128.379,13.775,2036-01-15,13.44
